Isin,CurrencyCode,Ticker,company_name,environment_grade,environment_level,environment_score,esg_id,exchange_symbol,governance_grade,governance_level,governance_score,last_processing_date,social_grade,social_level,social_score,stock_symbol,total,total_grade,total_level
US6558441084,USD,System.Object[],Norfolk Southern Corporation,AA,Excellent,621,5138,NYSE,BB,Medium,318,20230222,BB,Medium,314,NSC,1253,A,High
US6658591044,USD,System.Object[],Northern Trust Corporation,BBB,High,485,5167,NASDAQ,BB,Medium,310,20230222,BB,Medium,350,NTRS,1145,BBB,High
US6668071029,USD,System.Object[],Northrop Grumman Corporation,A,High,505,5174,NYSE,BB,Medium,305,20230222,BB,Medium,310,NOC,1120,BBB,High
BMG667211046,USD,System.Object[],Norwegian Cruise Line Holdings Ltd.,A,High,505,5188,NYSE,BB,Medium,300,20230222,BB,Medium,305,NCLH,1110,BBB,High
US6293775085,USD,System.Object[],"NRG Energy, Inc.",B,Medium,283,5212,NYSE,B,Medium,200,20230222,B,Medium,249,NRG,732,B,Medium
US6703461052,USD,System.Object[],Nucor Corporation,BBB,High,482,5219,NYSE,BB,Medium,310,20230222,BB,Medium,347,NUE,1139,BBB,High
US67066G1040,USD,System.Object[],NVIDIA Corporation,BBB,High,408,5244,NASDAQ,B,Medium,290,20230222,BB,Medium,307,NVDA,1005,BBB,High
US62944T1051,USD,System.Object[],"NVR, Inc.",B,Medium,240,5246,NYSE,B,Medium,205,20230222,B,Medium,203,NVR,648,B,Medium
NL0009538784,USD,System.Object[],NXP Semiconductors N.V.,A,High,505,5247,NASDAQ,BB,Medium,305,20230222,BB,Medium,303,NXPI,1113,BBB,High
US6745991058,USD,System.Object[],Occidental Petroleum Corporation,A,High,541,5261,NYSE,BB,Medium,313,20230222,BB,Medium,320,OXY,1174,BBB,High
US6795801009,USD,System.Object[],"Old Dominion Freight Line, Inc.",BB,Medium,375,5286,NASDAQ,B,Medium,285,20230222,BB,Medium,320,ODFL,980,BBB,High
US6819191064,USD,System.Object[],Omnicom Group Inc.,A,High,545,5301,NYSE,BB,Medium,329,20230222,BB,Medium,302,OMC,1176,BBB,High
US6826801036,USD,System.Object[],"ONEOK, Inc.",BBB,High,467,5320,NYSE,BB,Medium,310,20230222,BB,Medium,311,OKE,1088,BBB,High
US68389X1054,USD,System.Object[],Oracle Corporation,A,High,545,5341,NYSE,BB,Medium,345,20230222,BB,Medium,320,ORCL,1210,A,High
US67103H1077,USD,System.Object[],"OReilly Automotive, Inc.",A,High,500,5356,NASDAQ,BB,Medium,300,20230222,BB,Medium,300,ORLY,1100,BBB,High
US68622V1061,USD,System.Object[],Organon & Co.,A,High,505,74019,NYSE,BB,Medium,300,20230301,BB,Medium,337,OGN,1142,BBB,High
US6937181088,USD,System.Object[],PACCAR Inc,A,High,525,5417,NASDAQ,BB,Medium,300,20230222,BB,Medium,316,PCAR,1141,BBB,High
US6951561090,USD,System.Object[],Packaging Corporation of America,A,High,500,5435,NYSE,BB,Medium,300,20230222,BB,Medium,303,PKG,1103,BBB,High
US7010941042,USD,System.Object[],Parker-Hannifin Corporation,BBB,High,451,5477,NYSE,B,Medium,245,20230222,BB,Medium,341,PH,1037,BBB,High
US7043261079,USD,System.Object[],"Paychex, Inc.",A,High,590,5507,NASDAQ,BB,Medium,325,20230222,BB,Medium,371,PAYX,1286,A,High
US70432V1026,USD,System.Object[],"Paycom Software, Inc.",A,High,568,5508,NYSE,BB,Medium,340,20230222,BB,Medium,321,PAYC,1229,A,High
US70450Y1038,USD,System.Object[],"PayPal Holdings, Inc.",BB,Medium,375,5510,NASDAQ,B,Medium,285,20230222,B,Medium,229,PYPL,889,BB,Medium
IE00BLS09M33,USD,System.Object[],Pentair plc,BBB,High,431,5552,NYSE,BB,Medium,305,20230222,BB,Medium,320,PNR,1056,BBB,High
US7134481081,USD,System.Object[],"PepsiCo, Inc.",AA,Excellent,703,5562,NASDAQ,BB,Medium,305,20230222,BB,Medium,300,PEP,1308,A,High
US7140461093,USD,System.Object[],"PerkinElmer, Inc.",AA,Excellent,605,5568,NYSE,BB,Medium,303,20230222,BB,Medium,313,PKI,1221,A,High
IE00BGH1M568,USD,System.Object[],Perrigo Company plc,A,High,505,5578,NYSE,BB,Medium,305,20230222,BB,Medium,321,PRGO,1131,BBB,High
US7170811035,USD,System.Object[],Pfizer Inc.,A,High,500,5604,NYSE,BB,Medium,300,20230222,BB,Medium,305,PFE,1105,BBB,High
US7181721090,USD,System.Object[],Philip Morris International Inc.,A,High,533,5619,NYSE,BB,Medium,300,20230222,BB,Medium,342,PM,1175,BBB,High
US7185461040,USD,System.Object[],Phillips 66,BBB,High,428,5620,NYSE,BB,Medium,300,20230222,BB,Medium,328,PSX,1056,BBB,High
US7234841010,USD,System.Object[],Pinnacle West Capital Corporation,A,High,534,5651,NYSE,BB,Medium,300,20230222,BBB,High,481,PNW,1315,A,High
US7237871071,USD,System.Object[],Pioneer Natural Resources Company,BBB,High,440,5654,NYSE,BB,Medium,305,20230222,BB,Medium,307,PXD,1052,BBB,High
US73278L1052,USD,System.Object[],Pool Corporation,A,High,598,5704,NASDAQ,BB,Medium,300,20230222,BB,Medium,323,POOL,1221,A,High
US6935061076,USD,System.Object[],"PPG Industries, Inc.",BB,Medium,313,5730,NYSE,B,Medium,230,20230222,B,Medium,239,PPG,782,BB,Medium
US69351T1060,USD,System.Object[],PPL Corporation,BBB,High,415,5732,NYSE,BB,Medium,308,20230222,BB,Medium,305,PPL,1028,BBB,High
US74251V1026,USD,System.Object[],"Principal Financial Group, Inc.",A,High,515,5777,NASDAQ,BB,Medium,310,20230222,BB,Medium,307,PFG,1132,BBB,High
US7433151039,USD,System.Object[],The Progressive Corporation,BB,Medium,380,5795,NYSE,B,Medium,263,20230222,BBB,High,418,PGR,1061,BBB,High
US74340W1036,USD,System.Object[],"Prologis, Inc.",A,High,555,5797,NYSE,BB,Medium,315,20230222,BB,Medium,301,PLD,1171,BBB,High
US7443201022,USD,System.Object[],"Prudential Financial, Inc.",BB,Medium,316,5839,NYSE,BB,Medium,387,20230222,BB,Medium,325,PRU,1028,BBB,High
US69370C1009,USD,System.Object[],PTC Inc.,A,High,560,5845,NASDAQ,BB,Medium,365,20230222,BB,Medium,313,PTC,1238,A,High
US7445731067,USD,System.Object[],Public Service Enterprise Group Incorporated,BBB,High,400,5848,NYSE,B,Medium,205,20230222,BB,Medium,300,PEG,905,BBB,High
US74460D1090,USD,System.Object[],Public Storage,B,Medium,210,5849,NYSE,B,Medium,200,20230222,B,Medium,202,PSA,612,B,Medium
US7458671010,USD,System.Object[],"PulteGroup, Inc.",B,Medium,230,5859,NYSE,B,Medium,220,20230222,B,Medium,202,PHM,652,B,Medium
US74736K1016,USD,System.Object[],"Qorvo, Inc.",A,High,540,5902,NASDAQ,BB,Medium,310,20230222,BB,Medium,308,QRVO,1158,BBB,High
US7475251036,USD,System.Object[],QUALCOMM Incorporated,BBB,High,414,5909,NASDAQ,BB,Medium,300,20230222,BB,Medium,300,QCOM,1014,BBB,High
US74762E1029,USD,System.Object[],"Quanta Services, Inc.",A,High,545,5913,NYSE,BB,Medium,305,20230222,BB,Medium,365,PWR,1215,A,High
US74834L1008,USD,System.Object[],Quest Diagnostics Incorporated,B,Medium,230,5919,NYSE,B,Medium,205,20230222,BB,Medium,300,DGX,735,B,Medium
US7512121010,USD,System.Object[],Ralph Lauren Corporation,BBB,High,462,5956,NYSE,BB,Medium,300,20230222,B,Medium,279,RL,1041,BBB,High
US7547301090,USD,System.Object[],"Raymond James Financial, Inc.",A,High,515,5976,NYSE,BB,Medium,300,20230222,BB,Medium,305,RJF,1120,BBB,High
US75513E1010,USD,System.Object[],Raytheon Technologies Corporation,A,High,565,72184,NYSE,BB,Medium,320,20230301,BB,Medium,320,RTX,1205,A,High
